Id,Supplier,Recipient,No. ordered,No. ordered data uncertain,Designation,Description,Status,Status data uncertain,Year of order,Year of order data uncertain,Year(s) of deliveries,No. delivered,Year(s) of delivery or no. delivered data uncertain,Recipient Involvement,Comment
38204,Australia,India,5,,Thornycroft 26m,Patrol craft,New,,2010,Yes,2013 - 2013,1,Yes,Yes,For coast guard
174,Australia,Indonesia,4,,C-130H Hercules,Transport aircraft,Refurbished,Yes,2013,,2013 - 2013,1,Yes,,Second-hand but modernized for AUD63 m before delivery; aid
17349,Australia,Singapore,35,Yes,R-600,IFV turret,New,,2012,,2012 - 2013,35,Yes,,AUD25 m ($27 m) deal; for Terrex APC/IFV produced in Singapore
18051,Australia,United States,9,,JHSV,Transport ship,New,,2009,,2013 - 2013,1,Yes,Yes,Part of $1.6 b 'JHSV' (Joint High Speed Vessel) programme; delivery 2013-2017
30906,Austria,Poland,5,,DA20,Light aircraft,New,,2012,,2013 - 2013,5,Yes,,For training
8069,Belarus,China,5,,Il-76M/Candid-B,Transport aircraft,SecondHand,,2011,Yes,2013 - 2013,5,Yes,,Second-hand; incl 2 Il-76MD and 3 Il-76TD version; ordered via Russia
34171,Belarus,Sudan,12,Yes,Su-24/Fencer,Bomber aircraft,SecondHand,Yes,2012,,2013 - 2013,12,Yes,,Ex-Belarusian
17414,Belgium,France,110,Yes,Arrows-300,AV turret,New,,2005,Yes,2008 - 2013,110,Yes,,For 110 VPC APC produced in France
15869,Belgium,Saudi Arabia,84,,LCTS 90mm,AV turret,New,,2009,Yes,2011 - 2013,84,Yes,,For 84 Piranha (LAV-90 or LAV-AG) FSV from Canada
26053,Belgium,United Kingdom,2,,BAe-146,Transport aircraft,SecondHand,,2012,,2013 - 2013,2,,,Second-hand; BAe-146-200QC version; UK designation BAE-146 C-3; for use in Afghanistan
17233,Brazil,Angola,6,,EMB-314 Super Tucano,Trainer/combat ac,New,,2011,,2013 - 2013,6,Yes,,
17230,Brazil,Mauritania,4,,EMB-314 Super Tucano,Trainer/combat ac,New,,2011,,2012 - 2013,4,Yes,,
22212,Brazil,Unknown country,50,Yes,SMKB,Guided bomb,New,,2010,Yes,2013 - 2013,50,Yes,,Recipient is South American country (possibly Ecuador or Peru)
1767,Bulgaria,Unknown country,3,Yes,L-39Z Albatros,Trainer/combat ac,SecondHand,,2011,Yes,2013 - 2013,3,Yes,,Ex-Bulgarian; L-39ZA version
25277,Canada,Angola,6,Yes,PT-6,Turboprop,New,,2011,,2013 - 2013,6,Yes,,For 6 EMB-314 trainer/combat aircraft from Brazil
25270,Canada,Botswana,5,Yes,PT-6,Turboprop,New,,2011,,2013 - 2013,5,Yes,,For 5 PC-7 trainer aircraft from Switzerland; PT-6A-25C version
13191,Canada,Colombia,2,,PW-100,Turboprop/turboshaft,New,,2012,,2013 - 2013,2,,,For 1 C-295 transport aircraft from Spain
13196,Canada,Colombia,2,,PW-100,Turboprop/turboshaft,New,,2012,,2013 - 2013,2,,,For 1 C-295 transport aircraft from Spain
30905,Canada,Ecuador,12,,DA20,Light aircraft,New,,2011,,2012 - 2013,12,,,For training
13195,Canada,Egypt,6,Yes,PW-100,Turboprop/turboshaft,New,,2012,,2013 - 2013,6,Yes,,For 3 C-295 transport aircraft from Spain
25271,Canada,India,75,Yes,PT-6,Turboprop,New,,2012,,2013 - 2013,30,Yes,,For 75 PC-7 trainer aircraft from Switzerland
13184,Canada,Indonesia,18,Yes,PW-100,Turboprop/turboshaft,New,,2012,,2012 - 2013,10,Yes,,For 9 C-295 transport aircraft from Spain
13186,Canada,Kazakhstan,4,Yes,PW-100,Turboprop/turboshaft,New,,2012,,2013 - 2013,4,Yes,,For 2 C-295 transport aircraft from Spain
13200,Canada,Laos,4,Yes,PW-100,Turboprop/turboshaft,New,,2012,Yes,2013 - 2013,4,Yes,,For 2 MA-600 transport aircraft from China
25283,Canada,Mauritania,4,Yes,PT-6,Turboprop,New,,2011,,2012 - 2013,4,Yes,,For 4
13187,Canada,Oman,16,Yes,PW-100,Turboprop/turboshaft,New,,2012,,2013 - 2013,4,Yes,,For 5 C-295 transport aircraft and 3 C-295MPA MP aircraft from Spain
28814,Canada,Peru,12,,DHC-6 Twin Otter,Transport aircraft,New,,2010,,2011 - 2013,7,Yes,,$67 m deal; DHC-6-400 version; delivery 2011-2014
25273,Canada,Poland,16,Yes,PT-6,Turboprop,New,,2011,,2012 - 2013,16,Yes,,For modernization of 16 PZL-130 trainer aircraft to PZL-130TC-2
13188,Canada,Poland,10,Yes,PW-100,Turboprop/turboshaft,New,,2012,,2012 - 2013,10,,,For 5 C-295 transport aircraft from Spain; PW-127 version
31815,Canada,Saudi Arabia,724,,Piranha,APC,New,,2009,,2011 - 2013,410,Yes,,"$2.2 b deal (part of $5.8 b deal); sold via USA; LAV version; incl LAV-25 IFV, LAV-AG FSV, LAV-AT anti-tank, 120mm mortar caririer, ARV, command post and ambulance versions; for National Guard"
25279,Canada,Saudi Arabia,55,Yes,PT-6,Turboprop,New,,2012,,2013 - 2013,2,Yes,,For 55 PC-21 trainer aircraft from Switzerland
13155,Canada,Turkey,16,Yes,PW-100,Turboprop/turboshaft,New,,2005,,2013 - 2013,4,Yes,,PW-127M version; for 6 ATR-72MP ASW aircraft and 2 ATR-72 transport aircraft from Italy
28809,Canada,United Arab Emirates,10,,DHC-6 Twin Otter,Transport aircraft,New,,2008,,2013 - 2013,1,Yes,,$65m deal; DHC-6-400 version; inc 4 Guardian-400 surveillance/MP version; bought and owned by UAE company incl for use by UAE government
25267,Canada,United Arab Emirates,24,Yes,PT-6,Turboprop,New,,2010,,2010 - 2013,24,Yes,,For 24 AT-802U combat aircraft from USA
37005,Canada,United States,292,,Piranha-3,APC,New,,2011,,2012 - 2013,292,Yes,Yes,LAV-3 (LAV-25/Stryker SDVH) version
25229,Canada,United States,724,Yes,PT-6,Turboprop,New,,1996,,1999 - 2013,709,Yes,,For 724 PC-9 (T-6A) trainer aircraft from Switzerland; PT-6A-62 version
28810,Canada,Viet Nam,6,,DHC-6 Twin Otter,Transport aircraft,New,,2010,,2012 - 2013,3,Yes,,DHC-6-400 version; incl for MP; delivery 2012-2014
7378,China,Bangladesh,16,,F-7MG,Fighter aircraft,New,,2011,,2012 - 2013,16,Yes,,F-7BGI version
26220,China,Bangladesh,300,Yes,Type-59G,Tank,New,Yes,2009,Yes,2010 - 2013,155,Yes,,Bangladeshi Type-59 and Type-69 tanks rebuilt to Type-59G in Bangladesh with kits from China
34332,China,Bangladesh,44,,Type-90-2/MBT-2000,Tank,New,,2011,,2012 - 2013,44,Yes,,BDT12 b ($160 m) deal
15797,China,Bangladesh,20,Yes,C-704,Anti-ship missile,New,,2011,Yes,2012 - 2013,20,Yes,,For 2 LPC-1 corvettes
34885,China,Bangladesh,2,,LPC-1,Corvette,New,,2011,Yes,2013 - 2013,2,,,
34895,China,Bangladesh,5,,CSOC-50m,Patrol craft,New,,2011,,2013 - 2013,5,Yes,Yes,
34434,China,Benin,10,Yes,BF6,Diesel engine,New,,2012,Yes,2013 - 2013,10,Yes,,For 10 Casspir APC from South Africa; designation uncertain (reported as Chinese engine)
32144,China,Cambodia,12,,AS365/AS565 Panther,Helicopter,New,,2011,,2013 - 2013,12,,,$195 m deal (financed by Chinese loan); incl 4 armed version
32943,China,Egypt,18,,ASN-209,UAV,New,,2010,Yes,2012 - 2013,12,Yes,Yes,
38218,China,Ethiopia,1,Yes,HQ-64,SAM system,New,,2012,Yes,2013 - 2013,1,Yes,,
37092,China,Ethiopia,10,Yes,YW-531H/Type-85,APC,New,,2011,Yes,2013 - 2013,10,Yes,,Probably YW-534/Type-89 version
