hour,frequency
2007-09-19T00:00:00.000Z,8401520
2007-09-19T01:00:00.000Z,8246768
2007-09-19T02:00:00.000Z,7781871
2007-09-19T03:00:00.000Z,6842931
2007-09-19T04:00:00.000Z,5838327
2007-09-19T05:00:00.000Z,5411612
2007-09-19T06:00:00.000Z,5909353
2007-09-19T07:00:00.000Z,6557283
2007-09-19T08:00:00.000Z,7180711
2007-09-19T09:00:00.000Z,7429829
2007-09-19T10:00:00.000Z,7483986
2007-09-19T11:00:00.000Z,8510321
2007-09-19T12:00:00.000Z,10221550
2007-09-19T13:00:00.000Z,11707465
2007-09-19T14:00:00.000Z,12397024
2007-09-19T15:00:00.000Z,12348031
2007-09-19T16:00:00.000Z,11916797
2007-09-19T17:00:00.000Z,11838919
2007-09-19T18:00:00.000Z,11591800
2007-09-19T19:00:00.000Z,11450560
2007-09-19T20:00:00.000Z,10842224
2007-09-19T21:00:00.000Z,9667949
2007-09-19T22:00:00.000Z,1628418
